#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2015 01 06 08 00  90  7.3  8.6 99.00 99.00 99.00 999 1024.2  24.9  25.3  21.6 99.0 99.00
2015 01 06 09 00  82  8.3  9.3 99.00 99.00 99.00 999 1024.1  24.8  25.3  21.6 99.0 99.00
2015 01 06 10 00  74  7.1  8.2 99.00 99.00 99.00 999 1024.1  24.9  25.2  21.7 99.0 99.00
2015 01 06 11 00  79  6.8  7.9 99.00 99.00 99.00 999 1024.3  24.8  25.2  21.7 99.0 99.00
2015 01 06 12 00  44  7.8  8.6 99.00 99.00 99.00 999 1024.9  23.8  25.2  21.7 99.0 99.00
2015 01 06 13 00  25  6.7  7.5 99.00 99.00 99.00 999 1025.8  23.6  25.2  21.6 99.0 99.00
2015 01 06 14 00  28  6.2  6.9 99.00 99.00 99.00 999 1026.6  23.5  25.1  21.5 99.0 99.00
2015 01 06 15 00  50  6.7  7.4 99.00 99.00 99.00 999 1026.9  24.4  25.2  21.7 99.0 99.00
2015 01 06 16 00  30  1.3  2.1 99.00 99.00 99.00 999 1026.4  24.4  25.3  21.2 99.0 99.00
2015 01 06 17 00  73  6.7  7.4 99.00 99.00 99.00 999 1025.3  25.2  25.4  21.2 99.0 99.00
2015 01 06 18 00  66  4.4  6.2 99.00 99.00 99.00 999 1024.2  25.2  25.5  21.0 99.0 99.00
2015 01 06 19 00  54  2.8  4.2 99.00 99.00 99.00 999 1023.3  25.2  25.7  21.4 99.0 99.00
2015 01 06 20 00 101  5.0  5.6 99.00 99.00 99.00 999 1023.0  25.3  25.9  21.3 99.0 99.00
2015 01 06 21 00 112  4.3  4.6 99.00 99.00 99.00 999 1023.0  25.2  26.0  21.3 99.0 99.00
2015 01 06 22 00  97  4.4  5.3 99.00 99.00 99.00 999 1023.1  25.3  26.1  21.8 99.0 99.00
2015 01 06 23 00 103  4.7  5.3 99.00 99.00 99.00 999 1023.1  25.1  26.0  21.8 99.0 99.00
2015 01 07 00 00 101  4.0  4.3 99.00 99.00 99.00 999 1023.2  25.0  26.0  21.7 99.0 99.00
2015 01 07 01 00  75  4.0  4.3 99.00 99.00 99.00 999 1023.3  25.0  26.1  21.6 99.0 99.00
2015 01 07 02 00  87  3.9  4.3 99.00 99.00 99.00 999 1023.3  24.9  25.9  21.6 99.0 99.00
2015 01 07 03 00  75  3.5  4.0 99.00 99.00 99.00 999 1023.3  24.8  25.8  21.4 99.0 99.00
2015 01 07 04 00  35  4.0  4.5 99.00 99.00 99.00 999 1023.0  24.1  25.6  21.5 99.0 99.00
2015 01 07 05 00  15  3.8  4.3 99.00 99.00 99.00 999 1022.6  24.0  25.6  20.8 99.0 99.00
2015 01 07 06 00  22  3.0  3.3 99.00 99.00 99.00 999 1022.3  24.3  25.5  20.6 99.0 99.00
2015 01 07 07 00   4  3.3  3.7 99.00 99.00 99.00 999 1022.0  24.0  25.5  20.6 99.0 99.00
2015 01 07 08 00 340  4.7  5.3 99.00 99.00 99.00 999 1021.8  23.9  25.5  20.0 99.0 99.00
2015 01 07 09 00 353  4.7  5.3 99.00 99.00 99.00 999 1021.7  23.4  25.5  20.3 99.0 99.00
2015 01 07 10 00 353  4.4  4.8 99.00 99.00 99.00 999 1021.5  23.3  25.5  20.6 99.0 99.00
2015 01 07 11 00   1  4.7  5.7 99.00 99.00 99.00 999 1021.6  22.8  25.4  20.4 99.0 99.00
2015 01 07 12 00  10  4.0  4.3 99.00 99.00 99.00 999 1022.1  23.1  25.3  20.6 99.0 99.00
2015 01 07 13 00   8  3.3  4.4 99.00 99.00 99.00 999 1022.5  22.8  25.2  20.3 99.0 99.00
2015 01 07 14 00  18  3.0  4.0 99.00 99.00 99.00 999 1022.9  22.9  25.2  20.3 99.0 99.00
2015 01 07 15 00   1  3.7  4.2 99.00 99.00 99.00 999 1023.2  22.6  25.3  20.1 99.0 99.00
2015 01 07 16 00   0  4.0  4.5 99.00 99.00 99.00 999 1022.3  22.5  25.5  20.2 99.0 99.00
2015 01 07 17 00   0  0.7  1.1 99.00 99.00 99.00 999 1021.6  22.9  25.6  20.2 99.0 99.00
2015 01 07 18 00  26  0.8  1.1 99.00 99.00 99.00 999 1020.7  23.3  25.8  20.0 99.0 99.00
2015 01 07 19 00 346  2.0  2.4 99.00 99.00 99.00 999 1020.2  23.6  25.9  19.6 99.0 99.00
2015 01 07 20 00 321  2.8  3.1 99.00 99.00 99.00 999 1019.9  23.6  26.1  19.4 99.0 99.00
2015 01 07 21 00 325  5.5  6.4 99.00 99.00 99.00 999 1020.2  23.5  26.2  20.2 99.0 99.00
2015 01 07 22 00 329  7.9  8.5 99.00 99.00 99.00 999 1020.6  23.7  26.2  19.7 99.0 99.00
