#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2010 01 06 20 00 328  4.9  5.7 99.00 99.00 99.00 999 1022.5  12.5  13.4 999.0 99.0 99.00
2010 01 06 21 00 321  7.0  7.9 99.00 99.00 99.00 999 1022.3  12.0  13.5 999.0 99.0 99.00
2010 01 06 22 00 316  7.3  8.2 99.00 99.00 99.00 999 1022.4  12.2  13.5 999.0 99.0 99.00
2010 01 06 23 00 332  8.5  9.9 99.00 99.00 99.00 999 1022.5  12.2  13.4 999.0 99.0 99.00
2010 01 07 00 00 330  9.4 10.5 99.00 99.00 99.00 999 1022.6  11.7  13.3 999.0 99.0 99.00
2010 01 07 01 00 336  8.9 10.2 99.00 99.00 99.00 999 1023.1  11.9  13.3 999.0 99.0 99.00
2010 01 07 02 00 350  8.7  9.6 99.00 99.00 99.00 999 1023.4  11.7  13.2 999.0 99.0 99.00
2010 01 07 03 00   0  6.9  7.5 99.00 99.00 99.00 999 1023.9  11.5  13.2 999.0 99.0 99.00
2010 01 07 04 00 356  6.9  7.9 99.00 99.00 99.00 999 1024.0  10.9  13.1 999.0 99.0 99.00
2010 01 07 05 00   1  8.1  8.5 99.00 99.00 99.00 999 1023.6  10.4  13.1 999.0 99.0 99.00
2010 01 07 06 00  15  7.0  7.5 99.00 99.00 99.00 999 1023.0  10.1  12.9 999.0 99.0 99.00
2010 01 07 07 00   3  7.8  8.8 99.00 99.00 99.00 999 1022.5   9.8  12.8 999.0 99.0 99.00
2010 01 07 08 00  10  7.6  8.3 99.00 99.00 99.00 999 1022.2   9.3  12.7 999.0 99.0 99.00
2010 01 07 09 00  18  9.0  9.8 99.00 99.00 99.00 999 1021.6   8.9  12.6 999.0 99.0 99.00
2010 01 07 10 00  26  7.2  8.0 99.00 99.00 99.00 999 1021.7   8.9  12.5 999.0 99.0 99.00
2010 01 07 11 00  11  7.4  8.1 99.00 99.00 99.00 999 1022.9   8.3  12.3 999.0 99.0 99.00
