YYYY MM DD hh mm  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2005 01 05 06 00 103  6.2  6.7 99.00 99.00 99.00 999 1021.4  22.3  21.6  17.3 99.0 -0.05
2005 01 05 07 00  87  5.2  5.7 99.00 99.00 99.00 999 1020.8  22.2  21.5  18.8 99.0  0.02
2005 01 05 08 00  83  6.0  6.6 99.00 99.00 99.00 999 1020.2  22.3  21.5  18.5 99.0  0.14
2005 01 05 09 00  88  4.9  5.5 99.00 99.00 99.00 999 1020.0  22.0  21.4  18.6 99.0  0.22
2005 01 05 10 00  85  5.2  6.1 99.00 99.00 99.00 999 1020.0  21.9  21.3  18.6 99.0  0.22
2005 01 05 11 00  97  5.5  6.1 99.00 99.00 99.00 999 1020.1  22.3  21.3  17.9 99.0  0.17
2005 01 05 12 00  85  4.5  4.9 99.00 99.00 99.00 999 1020.6  21.9  21.2  18.8 99.0  0.09
2005 01 05 13 00  75  4.6  5.1 99.00 99.00 99.00 999 1021.2  22.2  21.2  18.6 99.0  0.06
2005 01 05 14 00  30  1.4  3.1 99.00 99.00 99.00 999 1021.9  22.4  21.2  18.7 99.0  0.13
2005 01 05 15 00  33  1.7  2.6 99.00 99.00 99.00 999 1022.3  22.4  21.3  19.3 99.0  0.15
2005 01 05 16 00  66  3.7  4.3 99.00 99.00 99.00 999 1021.8  22.9  21.5  19.0 99.0  0.23
2005 01 05 17 00  48  2.2  3.4 99.00 99.00 99.00 999 1021.0  23.1  21.7  19.6 99.0  0.34
2005 01 05 18 00  78  4.4  5.3 99.00 99.00 99.00 999 1019.8  23.2  21.9  19.4 99.0  0.46
2005 01 05 19 00  98  5.5  6.5 99.00 99.00 99.00 999 1018.8  23.3  22.1  19.3 99.0  0.49
2005 01 05 20 00  87  4.7  5.3 99.00 99.00 99.00 999 1018.4  23.3  22.0  19.3 99.0  0.57
2005 01 05 21 00  79  4.3  5.0 99.00 99.00 99.00 999 1018.4  23.2  22.1  19.5 99.0  0.62
2005 01 05 22 00  85  3.4  3.9 99.00 99.00 99.00 999 1018.5  22.8  22.2  19.9 99.0  0.60
2005 01 05 23 00  65  2.8  3.1 99.00 99.00 99.00 999 1018.8  22.6  22.2  20.5 99.0  0.52
2005 01 06 00 00  61  3.2  3.6 99.00 99.00 99.00 999 1019.3  22.4  22.2  20.5 99.0  0.45
2005 01 06 01 00  55  3.7  4.2 99.00 99.00 99.00 999 1019.6  22.3  22.2  20.9 99.0  0.41
2005 01 06 02 00  49  2.8  3.1 99.00 99.00 99.00 999 1019.8  22.2  22.1  21.1 99.0  0.30
2005 01 06 03 00  56  2.9  3.3 99.00 99.00 99.00 999 1019.7  22.3  22.1  21.1 99.0  0.24
2005 01 06 04 00 117  4.3  4.6 99.00 99.00 99.00 999 1019.3  23.0  22.2  20.3 99.0  0.19
2005 01 06 05 00 120  5.3  6.0 99.00 99.00 99.00 999 1018.7  23.1  22.2  20.1 99.0  0.11
2005 01 06 06 00 119  5.9  6.3 99.00 99.00 99.00 999 1018.1  23.1  22.1  20.1 99.0 -0.07
2005 01 06 07 00 121  6.2  6.8 99.00 99.00 99.00 999 1017.7  23.0  22.1  19.9 99.0 -0.23
2005 01 06 08 00 115  6.4  7.1 99.00 99.00 99.00 999 1017.2  22.8  22.0  20.5 99.0 -0.16
2005 01 06 09 00 133  6.4  7.3 99.00 99.00 99.00 999 1016.9  23.1  22.0  20.0 99.0 -0.03
2005 01 06 10 00 140  7.4  8.3 99.00 99.00 99.00 999 1017.0  23.2  21.9  19.9 99.0  0.08
2005 01 06 11 00 134  5.6  6.1 99.00 99.00 99.00 999 1017.7  23.0  21.9  20.1 99.0  0.11
2005 01 06 12 00 131  4.9  5.3 99.00 99.00 99.00 999 1018.4  22.9  21.8  19.9 99.0  0.06
2005 01 06 13 00 130  5.0  5.6 99.00 99.00 99.00 999 1019.1  23.2  21.8  20.0 99.0 -0.04
2005 01 06 14 00 131  4.7  5.3 99.00 99.00 99.00 999 1019.7  23.8  21.8  20.1 99.0 -0.09
2005 01 06 15 00 128  5.3  5.8 99.00 99.00 99.00 999 1020.3  23.7  21.9  20.4 99.0 -0.01
2005 01 06 16 00  95  3.1  3.6 99.00 99.00 99.00 999 1020.2  23.9  22.0  20.7 99.0  0.02
2005 01 06 17 00 124  5.0  5.7 99.00 99.00 99.00 999 1019.6  23.9  22.2  20.8 99.0  0.15
2005 01 06 18 00 126  5.6  6.3 99.00 99.00 99.00 999 1018.6  23.8  22.3  20.8 99.0  0.32
2005 01 06 19 00 146  5.2  5.6 99.00 99.00 99.00 999 1018.0  24.0  22.5  21.0 99.0  0.48
2005 01 06 20 00 147  5.1  6.1 99.00 99.00 99.00 999 1017.8  24.2  22.6  20.9 99.0  0.52
2005 01 06 21 00 140  4.9  5.6 99.00 99.00 99.00 999 1017.8  24.0  22.6  20.8 99.0  0.61
