YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
97 01 06 00 168  2.7  3.2 99.00 99.00 99.00 999 1016.5  24.6 999.0 999.0 99.0
97 01 06 01 267   .5   .8 99.00 99.00 99.00 999 1017.0  24.6 999.0 999.0 99.0
97 01 06 02 272   .8  1.0 99.00 99.00 99.00 999 1017.4  24.5 999.0 999.0 99.0
97 01 06 03 309   .9  1.0 99.00 99.00 99.00 999 1018.0  24.4 999.0 999.0 99.0
97 01 06 04  39   .3   .6 99.00 99.00 99.00 999 1017.8  24.2 999.0 999.0 99.0
97 01 06 05 114  2.2  2.6 99.00 99.00 99.00 999 1017.6  24.1 999.0 999.0 99.0
97 01 06 06 101  2.9  3.3 99.00 99.00 99.00 999 1016.9  24.2 999.0 999.0 99.0
97 01 06 07  94  2.2  2.9 99.00 99.00 99.00 999 1016.6  24.1 999.0 999.0 99.0
97 01 06 08 135  3.2  3.8 99.00 99.00 99.00 999 1016.3  24.1 999.0 999.0 99.0
97 01 06 09 157  4.3  4.8 99.00 99.00 99.00 999 1016.3  24.2 999.0 999.0 99.0
97 01 06 10 156  5.4  6.2 99.00 99.00 99.00 999 9999.0  24.2 999.0 999.0 99.0
97 01 06 11 160  4.5  5.1 99.00 99.00 99.00 999 1016.9  24.3 999.0 999.0 99.0
97 01 06 12 158  4.5  4.9 99.00 99.00 99.00 999 9999.0  24.2 999.0 999.0 99.0
97 01 06 13 160  4.1  4.6 99.00 99.00 99.00 999 1017.8  24.4 999.0 999.0 99.0
97 01 06 14 144  2.8  3.1 99.00 99.00 99.00 999 1018.5  24.6 999.0 999.0 99.0
97 01 06 15  88  1.4  2.5 99.00 99.00 99.00 999 1019.3  24.8 999.0 999.0 99.0
97 01 06 16 141  2.5  3.0 99.00 99.00 99.00 999 1018.9  24.8 999.0 999.0 99.0
97 01 06 17 158  2.9  3.2 99.00 99.00 99.00 999 1018.4  24.8 999.0 999.0 99.0
