Station,DBKEY,Daily.Date,Data.Value,Qualifier,Revision Date
NP-TSB,H3153,9/3/1961,9.68,,18-Dec-15
NP-TSB,H3153,9/4/1961,8.15,,18-Dec-15
NP-TSB,H3153,9/5/1961,7.25,,18-Dec-15
NP-TSB,H3153,9/6/1961,5.88,,18-Dec-15
NP-TSB,H3153,9/7/1961,4.9,,18-Dec-15
NP-TSB,H3153,9/8/1961,4.47,,18-Dec-15
NP-TSB,H3153,9/9/1961,4.47,,18-Dec-15
NP-TSB,H3153,9/10/1961,3.7,,18-Dec-15
NP-TSB,H3153,9/11/1961,3.05,,18-Dec-15
NP-TSB,H3153,9/12/1961,2.77,,18-Dec-15
NP-TSB,H3153,9/13/1961,2.59,,18-Dec-15
NP-TSB,H3153,9/14/1961,2.86,,18-Dec-15
NP-TSB,H3153,9/15/1961,4.75,,18-Dec-15
NP-TSB,H3153,9/16/1961,4.61,,18-Dec-15
NP-TSB,H3153,9/17/1961,10.25,,18-Dec-15
NP-TSB,H3153,9/18/1961,12.82,,18-Dec-15
NP-TSB,H3153,9/19/1961,12.47,,18-Dec-15
NP-TSB,H3153,9/20/1961,10.54,,18-Dec-15
NP-TSB,H3153,9/21/1961,8.89,,18-Dec-15
NP-TSB,H3153,9/22/1961,7.25,,18-Dec-15
NP-TSB,H3153,9/23/1961,6.25,,18-Dec-15
NP-TSB,H3153,9/24/1961,5.05,,18-Dec-15
NP-TSB,H3153,9/25/1961,4.07,,18-Dec-15
NP-TSB,H3153,9/26/1961,3.47,,18-Dec-15
NP-TSB,H3153,9/27/1961,2.95,,18-Dec-15
NP-TSB,H3153,9/28/1961,2.77,,18-Dec-15
NP-TSB,H3153,9/29/1961,2.34,,18-Dec-15
NP-TSB,H3153,9/30/1961,3.25,,18-Dec-15
NP-TSB,H3153,10/1/1961,6.44,,18-Dec-15
NP-TSB,H3153,10/2/1961,8.89,,18-Dec-15
NP-TSB,H3153,10/3/1961,10.85,,18-Dec-15
NP-TSB,H3153,10/4/1961,12.82,,18-Dec-15
NP-TSB,H3153,10/5/1961,11.8,,18-Dec-15
NP-TSB,H3153,10/6/1961,11.15,,18-Dec-15
NP-TSB,H3153,10/7/1961,15.1,,18-Dec-15
NP-TSB,H3153,10/8/1961,14.7,,18-Dec-15
NP-TSB,H3153,10/9/1961,13.92,,18-Dec-15
NP-TSB,H3153,10/10/1961,21.89,,18-Dec-15
NP-TSB,H3153,10/11/1961,21.33,,18-Dec-15
NP-TSB,H3153,10/12/1961,19.21,,18-Dec-15
NP-TSB,H3153,10/13/1961,17.28,,18-Dec-15
NP-TSB,H3153,10/14/1961,15.1,,18-Dec-15
NP-TSB,H3153,10/15/1961,12.47,,18-Dec-15
NP-TSB,H3153,10/16/1961,10.54,,18-Dec-15
NP-TSB,H3153,10/17/1961,8.63,,18-Dec-15
NP-TSB,H3153,10/18/1961,8.15,,18-Dec-15
NP-TSB,H3153,10/19/1961,8.63,,18-Dec-15
NP-TSB,H3153,10/20/1961,7.04,,18-Dec-15
NP-TSB,H3153,10/21/1961,5.71,,18-Dec-15
NP-TSB,H3153,10/22/1961,4.47,,18-Dec-15
NP-TSB,H3153,10/23/1961,3.58,,18-Dec-15
NP-TSB,H3153,10/24/1961,2.95,,18-Dec-15
NP-TSB,H3153,10/25/1961,2.59,,18-Dec-15
NP-TSB,H3153,10/26/1961,2.19,,18-Dec-15
NP-TSB,H3153,10/27/1961,1.85,,18-Dec-15
NP-TSB,H3153,10/28/1961,1.72,,18-Dec-15
NP-TSB,H3153,10/29/1961,1.67,,18-Dec-15
NP-TSB,H3153,10/30/1961,1.55,,18-Dec-15
NP-TSB,H3153,10/31/1961,1.4,,18-Dec-15
